id,overview,popularity,release_date,title,vote_average,vote_count,KEYWORDS,GENRES,CAST,DIRECTORS
48386,"Dr. Chaudhary must perform multiple surgeries on Major Ranjeet Khanna, who was shot by the Police while trying to escape from custody after killing his wife, Pushpa, and her lover, Prakash. Chances of Ranjeet's recovery are very slim, if he does recover, he could end up mentally unstable or paralyzed. In the event he does recover, the medical staff's efforts would be in vain as he has already been found guilty and sentenced to be hanged.",0.612,1973-01-01,Achanak,4.5,2,[],"['Crime', 'Drama']","['Vinod Khanna', 'Om Shivpuri', 'Iftekhar', 'Lily Chakravarty', 'Farida Jalal', 'Kamaldeep', 'Ravi Raaj']",['Gulzar']
113581,"In the old city of Ahmedabad, amid India's largest kite festival, a family duels, spins and soars like the countless kites in the skies above.",1.277,2012-06-15,Patang,5.3,4,[],['Drama'],"['Seema Biswas', 'Nawazuddin Siddiqui', 'Sugandha Garg', 'Mukkund Shukla', 'Aakash Maheriya']",['Prashant Bhargava']
46424,"Circa 1960s Lucknow-based author Zafar Ali Naqvi, who has issues with his father and his four wives, including the 4th one who lusts after him, re-locates to Bombay, starts writing for movies, and falls in love with starlet Nikhat Sheikh. Both decide to get married but cancel the plans at the last minute after she finds out that her mother and her live-in boyfriend...",0.805,2007-12-07,Khoya Khoya Chand,6.2,5,[],"['Drama', 'Romance']","['Shiney Ahuja', 'Soha Ali Khan', 'Rajat Kapoor', 'Sonya Jehan', 'Rajendra Sethi']",['Sudhir Mishra']
419550,"This silent film opens with shots of a hand distributing charity from a silver plate to a waiting crowd and tells of the good king of Magadh's fight with his evil ministers. The king is poisoned by his brother, the evil Kalsen and the infant prince Chandrapratab, smuggled out by the loyal sardar Satyapal, grows up in a forest to become the acrobat Hamir (Hamir) in love with his partner, the beautiful Saranga (Pawar, credited as 'Ambu'). Saranga is kidnapped by Kalsen's son Ramanaraj , described as 'the perfect libertine', but Kalsen takes her away from his son and attempts to seduce Saranga with promises of wealth. The fearless Hamir fights dozens of soldiers, in amateurishly staged fights, trying to liberate her. In the end Saranga, rejected by her lover for having been tempted by Kalsen's promises of wealth, dons a mask and turns into a Zorr-type avenger. Hamir is eventually recognized by the royal tattoo on his shoulder and restored to the throne as well as reunited with Saranga.",0.611,1931-10-04,Diler Jagar,5.7,3,[],[],"['Hamir', 'Ezak Daniel', 'Lalita Pawar']",['G.P. Pawar']
161064,"Sunny is struggling to make a living in the Bollywood industry. He takes a job as assistant director (the operative word being assistant) for an American documentary filmmaking team, but during filming in the Indian Rajasthan province he is kidnapped by Pakistani terrorists – and detained in a small village in Pakistan. The situation is delicate, but the villagers share Sunny's passion for Bollywood film, and little by little the hostage and the guardians come to understand each other. Eventually, Sunny lays a plan to escape with the help of the villagers.",0.611,2014-06-06,Filmistaan,6.9,12,[],['Comedy'],"['Sharib Hashmi', 'Kumud Mishra', 'Gopal Datt', 'Inaamulhaq']",['Nitin Kakkar']
211990,"Romesh (Arjun Mathur) was a young medical intern who dared to dream. He was in awe of Dr. Asthana (Kay Kay Menon), the Chief of Surgery of the Shekhawat General Hospital. All he wanted to was be like him. He lived in with Riya, his co-intern and the love of his life.  However, when an eight year old boy, Ankur dies due to Dr. Asthana's medical negligence, Romesh realises that a good surgeon is not necessarily a good person.  Together with Ankur's mother Nandita, Dr Romesh sets out on a turbulent journey to fight for what is right. A fight for justice against his mentor, the hospital and the love of his life",1.424,2013-06-12,Ankur Arora Murder Case,5.8,11,"['loss of loved one', 'surgeon', 'doctor', 'surgery']","['Drama', 'Thriller']","['Tisca Chopra', 'Paoli Dam', 'Arjun Mathur', 'Kay Kay Menon', 'Vishakha Singh']",['Sohail Tatari']
196846,"When his parents are killed by three men, Amar, Akbar and Anthony, Vijay teams up with a forest officer who was framed in a murder case to avenge their deaths.",1.424,1983-04-08,Andhaa Kaanoon,7.0,3,[],['Action'],"['Rajinikanth', 'Hema Malini', 'Reena Roy', 'Amitabh Bachchan', 'Madhavi', 'Pran', 'Prem Chopra', 'Danny Denzongpa', 'Amrish Puri', 'Madan Puri', 'Om Shivpuri', 'Dharmendra', 'Asrani', 'Gautami Tadimalla', 'Harish Kumar']",['Rama Rao Tatineni']
128677,"Salim has been born lame, and lives with his mom, dad, and a sister who is old enough to be married. He and his dad search around for a suitable groom for her, and he meets Aslam. Salim rejects Aslam, as Aslam is not making enough wages that are commensuerate with his qualifications. Salim meets with some gangsters, who promise him that they will make him rich soon, and all he has to do is incite religious riots, pitting Hindus against the Muslims, and he will be well rewarded. Salim has always wanted to be rich, but will he take this opportunity to be wealthy",0.61,1989-05-29,Salim Langde Pe Mat Ro,6.5,4,[],"['Crime', 'Drama']","['Pavan Malhotra', 'Makrand Deshpande', 'Ashutosh Gowariker', 'Rajendra Gupta', 'Neelima Azim', 'Vikram Gokhale', 'Surekha Sikri']",['Saeed Akhtar Mirza']
296527,"After her husband, Ravi Malhotra, is killed, Sudha lives the life of a widow with her brother, Mahesh, and Bhabhi, Kamini. A new tenant, Ajay, comes to her rescue when she is molested by Bhavani's brother, both fall in love and decide to get married. Kamini initially opposes this match, but subsequently relents and both get married. Shortly thereafter she gets pregnant and it is then she finds out that Ajay is not who he claims to be, and may have been responsible for killing her husband.",1.182,1995-12-20,Haqeeqat,2.0,1,[],"['Drama', 'Action', 'Crime']","['Ajay Devgn', 'Tabu', 'Aruna Irani', 'Mohan Joshi', 'Ishrat Ali', 'Rami Reddy', 'Johnny Lever', 'Satyendra Kapoor', 'Himani Shivpuri', 'Anjana Mumtaz', 'Amrish Puri']",[]
16111,"After being granted immortality by the Hindu gods -- including his father, Vayu, the god of the wind -- Hanuman sets off on an epic journey.",0.61,2005-10-21,Hanuman,5.8,5,[],"['Animation', 'Fantasy']",['Sanjeev Jaiswal'],"['Milind Ukey', 'V.G. Samant']"
